Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Segment
184,3,814.5,1,3,3,133,At Risk / Lost Customers
42,3,539.0,3,3,3,333,Loyal Customers
40,4,1366.8600000000001,3,4,4,344,Loyal Customers
92,2,1579.12,2,2,4,224,At Risk / Lost Customers
22,4,4027.36,4,4,5,445,Champions
24,2,571.6700000000001,4,2,3,423,About to Sleep
29,2,382.98,4,2,2,422,Recent / New Customers
302,3,1140.35,1,3,4,134,At Risk / Lost Customers
145,2,385.64,2,2,2,222,At Risk / Lost Customers
6,2,632.0,5,2,3,523,About to Sleep
19,2,957.66,4,2,4,424,About to Sleep
33,5,1698.94,4,4,4,444,Champions
176,1,189.5,2,1,1,211,At Risk / Lost Customers
58,3,412.05,3,3,2,332,Loyal Customers
22,1,209.49,4,1,1,411,Recent / New Customers
16,6,2202.99,4,5,5,455,Champions
19,1,52.2,4,1,1,411,Recent / New Customers
159,1,384.8,2,1,2,212,At Risk / Lost Customers
25,4,834.57,4,4,3,443,Loyal Customers
212,2,271.24,1,2,2,122,At Risk / Lost Customers
6,4,691.73,5,4,3,543,Loyal Customers
253,1,85.0,1,1,1,111,At Risk / Lost Customers
59,9,3385.62,3,5,5,355,Loyal Customers
11,1,361.62,5,1,2,512,Recent / New Customers
65,1,312.98,3,1,2,312,Recent / New Customers
25,3,865.0600000000001,4,3,3,433,Loyal Customers
92,3,1255.0,2,3,4,234,Loyal Customers
52,2,1537.95,3,2,4,324,About to Sleep
129,1,1595.48,2,1,4,214,At Risk / Lost Customers
96,3,2651.46,2,3,5,235,Loyal Customers
57,1,1090.1399999999999,3,1,4,314,About to Sleep
9,25,8109.5199999999995,5,5,5,555,Champions
169,3,388.5,2,3,2,232,Loyal Customers
57,1,216.17000000000002,3,1,1,311,Recent / New Customers
326,1,201.16,1,1,1,111,At Risk / Lost Customers
1,5,1245.9,5,4,4,544,Champions
18,8,2209.36,4,5,5,455,Champions
248,1,305.78,1,1,2,112,At Risk / Lost Customers
58,4,501.56,3,4,3,343,Loyal Customers
74,1,145.67,2,1,1,211,At Risk / Lost Customers
31,3,1015.29,4,3,4,434,Loyal Customers
7,2,3192.54,5,2,5,525,About to Sleep
123,4,3104.9500000000003,2,4,5,245,Loyal Customers
2,8,2770.94,5,5,5,555,Champions
23,13,6403.25,4,5,5,455,Champions
120,3,389.6,2,3,2,232,Loyal Customers
358,1,540.45,1,1,3,113,At Risk / Lost Customers
54,5,1786.79,3,4,4,344,Loyal Customers
64,1,122.7,3,1,1,311,Recent / New Customers
86,1,117.24,2,1,1,211,At Risk / Lost Customers
55,1,1281.53,3,1,4,314,About to Sleep
21,13,3219.77,4,5,5,455,Champions
4,20,17159.52,5,5,5,555,Champions
3,5,1191.13,5,4,4,544,Champions
11,5,2674.48,5,4,5,545,Champions
7,5,787.6,5,4,3,543,Loyal Customers
189,2,506.8,1,2,3,123,At Risk / Lost Customers
71,1,243.56,3,1,1,311,Recent / New Customers
204,1,349.55,1,1,2,112,At Risk / Lost Customers
120,2,605.63,2,2,3,223,At Risk / Lost Customers
93,1,416.90000000000003,2,1,2,212,At Risk / Lost Customers
1,10,1883.81,5,5,4,554,Champions
27,4,632.97,4,4,3,443,Loyal Customers
298,1,821.1,1,1,3,113,At Risk / Lost Customers
24,3,564.62,4,3,3,433,Loyal Customers
28,4,2593.07,4,4,5,445,Champions
50,1,311.16,3,1,2,312,Recent / New Customers
326,1,155.93,1,1,1,111,At Risk / Lost Customers
16,2,388.52,4,2,2,422,Recent / New Customers
183,3,740.95,1,3,3,133,At Risk / Lost Customers
72,5,2867.2000000000003,3,4,5,345,Loyal Customers
37,2,332.64,3,2,2,322,Recent / New Customers
80,4,2369.55,2,4,5,245,Loyal Customers
57,9,2580.91,3,5,5,355,Loyal Customers
12,2,626.45,5,2,3,523,About to Sleep
50,2,272.04,3,2,2,322,Recent / New Customers
50,2,1212.8400000000001,3,2,4,324,About to Sleep
59,2,384.81,3,2,2,322,Recent / New Customers
352,1,172.25,1,1,1,111,At Risk / Lost Customers
54,1,351.13,3,1,2,312,Recent / New Customers
2,6,1838.8500000000001,5,5,4,554,Champions
93,4,678.25,2,4,3,243,Loyal Customers
23,1,223.85000000000002,4,1,1,411,Recent / New Customers
75,1,348.99,2,1,2,212,At Risk / Lost Customers
11,4,464.57,5,4,2,542,Loyal Customers
169,2,842.65,2,2,3,223,At Risk / Lost Customers
58,2,337.34,3,2,2,322,Recent / New Customers
96,2,1237.53,2,2,4,224,At Risk / Lost Customers
295,1,307.4,1,1,2,112,At Risk / Lost Customers
109,2,608.79,2,2,3,223,At Risk / Lost Customers
264,1,922.1,1,1,3,113,At Risk / Lost Customers
180,1,376.58,1,1,2,112,At Risk / Lost Customers
169,1,158.85,2,1,1,211,At Risk / Lost Customers
35,1,71.66,3,1,1,311,Recent / New Customers
23,3,568.55,4,3,3,433,Loyal Customers
17,4,839.14,4,4,3,443,Loyal Customers
22,5,5112.96,4,4,5,445,Champions
79,3,561.57,2,3,3,233,Loyal Customers
65,1,90.60000000000001,3,1,1,311,Recent / New Customers
361,1,102.0,1,1,1,111,At Risk / Lost Customers
3,6,2427.32,5,5,5,555,Champions
11,4,745.0600000000001,5,4,3,543,Loyal Customers
176,3,674.45,2,3,3,233,Loyal Customers
218,2,3251.071,1,2,5,125,At Risk / Lost Customers
7,7,3515.68,5,5,5,555,Champions
2,2,439.92,5,3,2,532,Loyal Customers
154,2,322.96,2,3,2,232,Loyal Customers
5,5,1026.42,5,4,4,544,Champions
79,3,598.2,2,3,3,233,Loyal Customers
21,2,230.22,4,3,1,431,About to Sleep
22,2,169.54999999999998,4,3,1,431,About to Sleep
308,4,664.54,1,4,3,143,At Risk / Lost Customers
146,1,80.7,2,1,1,211,At Risk / Lost Customers
7,18,9053.94,5,5,5,555,Champions
19,8,2758.26,4,5,5,455,Champions
71,2,190.25,3,3,1,331,About to Sleep
287,1,264.7,1,1,2,112,At Risk / Lost Customers
49,1,413.59000000000003,3,1,2,312,Recent / New Customers
31,6,2526.28,4,5,5,455,Champions
207,1,357.98,1,1,2,112,At Risk / Lost Customers
15,2,196.79,4,3,1,431,About to Sleep
73,1,869.87,2,1,3,213,At Risk / Lost Customers
60,1,200.14,3,1,1,311,Recent / New Customers
39,4,1871.81,3,4,4,344,Loyal Customers
30,12,2603.43,4,5,5,455,Champions
27,5,920.51,4,4,3,443,Loyal Customers
4,15,7060.13,5,5,5,555,Champions
17,1,320.46,4,1,2,412,Recent / New Customers
20,6,4147.96,4,5,5,455,Champions
66,2,1266.08,3,3,4,334,Loyal Customers
213,1,311.3,1,1,2,112,At Risk / Lost Customers
12,6,855.97,5,5,3,553,Loyal Customers
30,1,76.8,4,1,1,411,Recent / New Customers
43,9,3466.36,3,5,5,355,Loyal Customers
4,6,2313.14,5,5,5,555,Champions
15,5,1393.69,4,4,4,444,Champions
10,12,3901.81,5,5,5,555,Champions
211,1,635.66,1,1,3,113,At Risk / Lost Customers
46,3,2043.0800000000002,3,3,4,334,Loyal Customers
134,2,529.73,2,3,3,233,Loyal Customers
43,7,4582.64,3,5,5,355,Loyal Customers
10,5,2874.72,5,4,5,545,Champions
116,3,962.19,2,3,4,234,Loyal Customers
198,2,695.61,1,3,3,133,At Risk / Lost Customers
278,1,328.8,1,1,2,112,At Risk / Lost Customers
110,3,473.02,2,3,2,232,Loyal Customers
77,1,505.18,2,1,3,213,At Risk / Lost Customers
53,1,917.34,3,1,3,313,About to Sleep
162,4,4341.21,2,4,5,245,Loyal Customers
47,3,1421.6100000000001,3,3,4,334,Loyal Customers
17,2,642.8,4,3,3,433,Loyal Customers
155,3,631.9,2,3,3,233,Loyal Customers
225,1,440.0,1,1,2,112,At Risk / Lost Customers
7,2,584.07,5,3,3,533,Loyal Customers
122,2,327.7,2,3,2,232,Loyal Customers
61,1,104.82,3,1,1,311,Recent / New Customers
63,2,467.66,3,3,2,332,Loyal Customers
18,8,2360.09,4,5,5,455,Champions
7,19,17286.86,5,5,5,555,Champions
2,11,2975.59,5,5,5,555,Champions
22,3,651.8199999999999,4,3,3,433,Loyal Customers
29,5,1428.02,4,4,4,444,Champions
285,1,626.65,1,1,3,113,At Risk / Lost Customers
176,2,147.20000000000002,2,3,1,231,At Risk / Lost Customers
78,3,1560.38,2,3,4,234,Loyal Customers
33,1,152.2,4,1,1,411,Recent / New Customers
41,12,3614.92,3,5,5,355,Loyal Customers
266,1,141.41,1,1,1,111,At Risk / Lost Customers
27,4,652.82,4,4,3,443,Loyal Customers
109,4,1659.75,2,4,4,244,Loyal Customers
284,1,154.99,1,1,1,111,At Risk / Lost Customers
9,5,1308.6100000000001,5,4,4,544,Champions
305,1,409.93,1,1,2,112,At Risk / Lost Customers
17,4,5681.72,4,4,5,445,Champions
32,2,746.36,4,3,3,433,Loyal Customers
1,23,15610.390000000001,5,5,5,555,Champions
20,1,225.35999999999999,4,1,1,411,Recent / New Customers
124,2,260.25,2,3,2,232,Loyal Customers
65,1,92.46000000000001,3,1,1,311,Recent / New Customers
106,1,725.6400000000001,2,1,3,213,At Risk / Lost Customers
1,23,8214.65,5,5,5,555,Champions
24,17,6217.96,4,5,5,455,Champions
267,1,183.6,1,1,1,111,At Risk / Lost Customers
5,19,6140.42,5,5,5,555,Champions
10,12,10464.85,5,5,5,555,Champions
29,5,1353.74,4,4,4,444,Champions
267,1,152.55,1,1,1,111,At Risk / Lost Customers
64,2,374.7,3,3,2,332,Loyal Customers
320,1,265.85,1,1,2,112,At Risk / Lost Customers
4,8,1438.82,5,5,4,554,Champions
32,1,151.04,4,1,1,411,Recent / New Customers
5,3,942.26,5,3,3,533,Loyal Customers
129,1,122.47,2,1,1,211,At Risk / Lost Customers
41,5,499.42,3,4,3,343,Loyal Customers
102,6,1049.37,2,5,4,254,Loyal Customers
125,1,375.1,2,1,2,212,At Risk / Lost Customers
33,1,45.599999999999994,4,1,1,411,Recent / New Customers
302,2,934.52,1,3,3,133,At Risk / Lost Customers
365,1,182.25,1,1,1,111,At Risk / Lost Customers
4,9,1018.43,5,5,4,554,Champions
2,18,4448.54,5,5,5,555,Champions
3,1,194.42,5,1,1,511,Recent / New Customers
10,13,50491.81,5,5,5,555,Champions
57,1,161.0,3,1,1,311,Recent / New Customers
325,1,76.32000000000001,1,1,1,111,At Risk / Lost Customers
8,14,4076.9100000000003,5,5,5,555,Champions
12,1,442.85,5,1,2,512,Recent / New Customers
4,17,65164.79,5,5,5,555,Champions
37,1,147.35,3,1,1,311,Recent / New Customers
16,11,3104.17,4,5,5,455,Champions
138,1,194.9,2,1,1,211,At Risk / Lost Customers
74,6,5976.79,2,5,5,255,Loyal Customers
5,5,1360.28,5,4,4,544,Champions
155,2,216.21,2,3,1,231,At Risk / Lost Customers
239,1,1266.23,1,1,4,114,At Risk / Lost Customers
52,7,2703.23,3,5,5,355,Loyal Customers
31,2,597.91,4,3,3,433,Loyal Customers
73,1,144.2,2,1,1,211,At Risk / Lost Customers
4,12,5683.15,5,5,5,555,Champions
14,4,692.85,4,4,3,443,Loyal Customers
23,7,2915.15,4,5,5,455,Champions
4,4,1840.42,5,4,4,544,Champions
274,2,386.53,1,3,2,132,At Risk / Lost Customers
20,5,1382.74,4,4,4,444,Champions
144,1,90.0,2,1,1,211,At Risk / Lost Customers
4,4,2780.15,5,4,5,545,Champions
84,1,419.58,2,1,2,212,At Risk / Lost Customers
11,3,2740.43,5,3,5,535,Loyal Customers
8,3,706.1300000000001,5,3,3,533,Loyal Customers
123,3,709.71,2,3,3,233,Loyal Customers
61,2,637.5,3,3,3,333,Loyal Customers
2,5,1123.8600000000001,5,4,4,544,Champions
319,1,483.86,1,1,2,112,At Risk / Lost Customers
2,11,3586.03,5,5,5,555,Champions
130,3,605.64,2,3,3,233,Loyal Customers
2,15,4690.31,5,5,5,555,Champions
2,2,982.38,5,3,4,534,Loyal Customers
46,1,415.82,3,1,2,312,Recent / New Customers
4,2,935.05,5,3,3,533,Loyal Customers
3,4,915.13,5,4,3,543,Loyal Customers
373,1,311.81,1,1,2,112,At Risk / Lost Customers
134,1,115.8,2,1,1,211,At Risk / Lost Customers
47,4,3742.2,3,4,5,345,Loyal Customers
9,5,4191.0,5,4,5,545,Champions
78,2,483.4,2,3,2,232,Loyal Customers
234,1,157.2,1,1,1,111,At Risk / Lost Customers
221,1,446.62,1,1,2,112,At Risk / Lost Customers
36,2,658.64,3,3,3,333,Loyal Customers
75,2,621.29,2,3,3,233,Loyal Customers
239,2,1345.62,1,3,4,134,At Risk / Lost Customers
266,1,118.75,1,1,1,111,At Risk / Lost Customers
10,55,117379.63,5,5,5,555,Champions
20,2,432.88,4,3,2,432,Loyal Customers
40,1,507.65999999999997,3,1,3,313,About to Sleep
20,11,4693.01,4,5,5,455,Champions
216,3,1110.52,1,3,4,134,At Risk / Lost Customers
174,2,289.36,2,3,2,232,Loyal Customers
87,4,2445.91,2,4,5,245,Loyal Customers
71,2,1631.77,3,3,4,334,Loyal Customers
276,1,122.53999999999999,1,1,1,111,At Risk / Lost Customers
39,4,574.84,3,4,3,343,Loyal Customers
98,1,363.79,2,1,2,212,At Risk / Lost Customers
11,4,450.84,5,4,2,542,Loyal Customers
33,1,134.46,4,1,1,411,Recent / New Customers
60,3,3222.3,3,3,5,335,Loyal Customers
297,4,576.9000000000001,1,4,3,143,At Risk / Lost Customers
86,4,559.41,2,4,3,243,Loyal Customers
9,7,1620.93,5,5,4,554,Champions
41,2,719.78,3,3,3,333,Loyal Customers
11,25,4748.52,5,5,5,555,Champions
67,1,452.89,3,1,2,312,Recent / New Customers
331,1,197.65,1,1,1,111,At Risk / Lost Customers
31,6,2054.36,4,5,4,454,Champions
2,15,4654.08,5,5,5,555,Champions
2,13,4684.76,5,5,5,555,Champions
68,2,853.39,3,3,3,333,Loyal Customers
5,21,11349.52,5,5,5,555,Champions
202,2,1012.0,1,3,4,134,At Risk / Lost Customers
107,1,335.52,2,1,2,212,At Risk / Lost Customers
18,4,701.4,4,4,3,443,Loyal Customers
218,1,185.39999999999998,1,1,1,111,At Risk / Lost Customers
60,7,747.44,3,5,3,353,Loyal Customers
2,1,161.03,5,1,1,511,Recent / New Customers
17,2,466.7,4,3,2,432,Loyal Customers
239,1,328.15999999999997,1,1,2,112,At Risk / Lost Customers
95,1,151.74,2,1,1,211,At Risk / Lost Customers
11,6,2073.43,5,5,5,555,Champions
106,6,1905.8400000000001,2,5,4,254,Loyal Customers
53,9,2241.1,3,5,5,355,Loyal Customers
90,1,1070.48,2,1,4,214,At Risk / Lost Customers
31,5,1004.38,4,4,4,444,Champions
12,6,1789.72,5,5,4,554,Champions
3,4,1839.3,5,4,4,544,Champions
2,17,2004.98,5,5,4,554,Champions
43,1,169.48000000000002,3,1,1,311,Recent / New Customers
4,1,89.94,5,1,1,511,Recent / New Customers
247,2,632.4000000000001,1,3,3,133,At Risk / Lost Customers
42,9,3432.8,3,5,5,355,Loyal Customers
177,1,683.17,2,1,3,213,At Risk / Lost Customers
92,3,991.13,2,3,4,234,Loyal Customers
110,4,1050.1200000000001,2,4,4,244,Loyal Customers
29,5,2232.19,4,4,5,445,Champions
26,10,3350.96,4,5,5,455,Champions
52,3,1547.2,3,3,4,334,Loyal Customers
184,3,925.71,1,3,3,133,At Risk / Lost Customers
43,5,2048.07,3,4,4,344,Loyal Customers
49,4,1462.72,3,4,4,344,Loyal Customers
22,4,775.46,4,4,3,443,Loyal Customers
75,5,3144.86,2,4,5,245,Loyal Customers
81,2,490.86,2,3,3,233,Loyal Customers
373,1,161.0,1,1,1,111,At Risk / Lost Customers
326,1,146.85,1,1,1,111,At Risk / Lost Customers
43,11,2380.85,3,5,5,355,Loyal Customers
30,2,890.34,4,3,3,433,Loyal Customers
184,1,213.70000000000002,1,1,1,111,At Risk / Lost Customers
235,2,280.55,1,3,2,132,At Risk / Lost Customers
9,10,2588.77,5,5,5,555,Champions
220,2,1693.45,1,3,4,134,At Risk / Lost Customers
111,3,1474.06,2,3,4,234,Loyal Customers
278,1,136.77,1,1,1,111,At Risk / Lost Customers
318,1,302.58,1,1,2,112,At Risk / Lost Customers
7,3,1904.05,5,3,4,534,Loyal Customers
2,5,2879.7000000000003,5,4,5,545,Champions
260,2,969.0600000000001,1,3,4,134,At Risk / Lost Customers
64,5,3099.7200000000003,3,4,5,345,Loyal Customers
9,9,12669.98,5,5,5,555,Champions
142,1,120.0,2,1,1,211,At Risk / Lost Customers
51,2,1163.45,3,3,4,334,Loyal Customers
8,8,2618.23,5,5,5,555,Champions
155,2,333.97,2,3,2,232,Loyal Customers
109,2,530.18,2,3,3,233,Loyal Customers
163,3,1516.24,2,3,4,234,Loyal Customers
332,1,492.65000000000003,1,1,3,113,At Risk / Lost Customers
226,1,112.32000000000001,1,1,1,111,At Risk / Lost Customers
74,2,437.96,2,3,2,232,Loyal Customers
51,4,559.97,3,4,3,343,Loyal Customers
99,3,1119.74,2,3,4,234,Loyal Customers
15,3,4216.2,4,3,5,435,Loyal Customers
197,1,134.04,1,1,1,111,At Risk / Lost Customers
3,15,3729.34,5,5,5,555,Champions
31,2,595.25,4,3,3,433,Loyal Customers
21,4,1910.01,4,4,4,444,Champions
24,3,4628.75,4,3,5,435,Loyal Customers
8,3,176.63,5,3,1,531,About to Sleep
213,1,426.6,1,1,2,112,At Risk / Lost Customers
9,6,911.26,5,5,3,553,Loyal Customers
11,5,2314.65,5,4,5,545,Champions
2,11,3883.25,5,5,5,555,Champions
8,9,4871.93,5,5,5,555,Champions
3,4,1046.56,5,4,4,544,Champions
40,1,166.20000000000002,3,1,1,311,Recent / New Customers
18,4,1305.33,4,4,4,444,Champions
8,44,51527.3,5,5,5,555,Champions
8,9,3965.62,5,5,5,555,Champions
19,1,43.2,4,1,1,411,Recent / New Customers
117,1,640.14,2,1,3,213,At Risk / Lost Customers
223,1,383.45,1,1,2,112,At Risk / Lost Customers
71,3,1858.96,3,3,4,334,Loyal Customers
51,2,2093.32,3,3,5,335,Loyal Customers
89,6,2995.7200000000003,2,5,5,255,Loyal Customers
8,9,2352.53,5,5,5,555,Champions
243,1,310.26,1,1,2,112,At Risk / Lost Customers
47,6,1611.5900000000001,3,5,4,354,Loyal Customers
107,1,120.0,2,1,1,211,At Risk / Lost Customers
45,6,2481.13,3,5,5,355,Loyal Customers
65,1,508.58,3,1,3,313,About to Sleep
207,2,477.79,1,3,2,132,At Risk / Lost Customers
11,5,1530.75,5,4,4,544,Champions
115,2,605.0600000000001,2,3,3,233,Loyal Customers
242,1,183.85,1,1,1,111,At Risk / Lost Customers
163,1,311.65000000000003,2,1,2,212,At Risk / Lost Customers
17,7,5014.84,4,5,5,455,Champions
124,2,462.66,2,3,2,232,Loyal Customers
23,3,866.3100000000001,4,3,3,433,Loyal Customers
68,1,415.2,3,1,2,312,Recent / New Customers
17,8,2552.21,4,5,5,455,Champions
16,2,468.26,4,3,2,432,Loyal Customers
17,4,1614.91,4,4,4,444,Champions
161,2,588.22,2,3,3,233,Loyal Customers
243,1,309.52000000000004,1,1,2,112,At Risk / Lost Customers
219,1,134.7,1,1,1,111,At Risk / Lost Customers
45,8,2182.28,3,5,5,355,Loyal Customers
21,4,668.5600000000001,4,4,3,443,Loyal Customers
127,8,889.9300000000001,2,5,3,253,Loyal Customers
39,1,108.98,3,1,1,311,Recent / New Customers
121,2,1021.58,2,3,4,234,Loyal Customers
260,1,409.57,1,1,2,112,At Risk / Lost Customers
10,1,133.5,5,1,1,511,Recent / New Customers
274,1,282.93,1,1,2,112,At Risk / Lost Customers
165,1,51.0,2,1,1,211,At Risk / Lost Customers
157,4,1078.96,2,4,4,244,Loyal Customers
215,1,90.6,1,1,1,111,At Risk / Lost Customers
6,2,163.62,5,3,1,531,About to Sleep
366,1,174.4,1,1,1,111,At Risk / Lost Customers
80,2,701.23,2,3,3,233,Loyal Customers
43,1,225.77,3,1,1,311,Recent / New Customers
19,3,912.1800000000001,4,3,3,433,Loyal Customers
32,4,2128.23,4,4,5,445,Champions
22,1,161.2,4,1,1,411,Recent / New Customers
109,8,3717.35,2,5,5,255,Loyal Customers
8,16,9261.52,5,5,5,555,Champions
320,1,155.0,1,1,1,111,At Risk / Lost Customers
295,1,100.5,1,1,1,111,At Risk / Lost Customers
358,1,76.55,1,1,1,111,At Risk / Lost Customers
185,1,257.68,1,1,2,112,At Risk / Lost Customers
191,2,617.05,1,3,3,133,At Risk / Lost Customers
44,2,348.1,3,3,2,332,Loyal Customers
52,1,202.68,3,1,1,311,Recent / New Customers
26,1,626.07,4,1,3,413,About to Sleep
38,3,1247.69,3,3,4,334,Loyal Customers
9,3,202.10999999999999,5,3,1,531,About to Sleep
297,1,142.4,1,1,1,111,At Risk / Lost Customers
33,3,1770.56,4,3,4,434,Loyal Customers
10,8,3212.84,5,5,5,555,Champions
65,2,1043.46,3,3,4,334,Loyal Customers
10,9,4652.82,5,5,5,555,Champions
218,1,67.95,1,1,1,111,At Risk / Lost Customers
2,9,3507.71,5,5,5,555,Champions
65,2,487.99,3,3,2,332,Loyal Customers
3,19,2612.96,5,5,5,555,Champions
149,1,574.7,2,1,3,213,At Risk / Lost Customers
4,13,4051.48,5,5,5,555,Champions
130,4,1475.81,2,4,4,244,Loyal Customers
34,6,1474.32,3,5,4,354,Loyal Customers
119,1,156.75,2,1,1,211,At Risk / Lost Customers
107,6,2157.73,2,5,5,255,Loyal Customers
11,7,2606.53,5,5,5,555,Champions
71,6,2059.4500000000003,3,5,5,355,Loyal Customers
92,9,1105.07,2,5,4,254,Loyal Customers
311,1,1063.0,1,1,4,114,At Risk / Lost Customers
43,2,770.03,3,3,3,333,Loyal Customers
362,1,122.7,1,1,1,111,At Risk / Lost Customers
92,7,1496.98,2,5,4,254,Loyal Customers
1,13,5900.28,5,5,5,555,Champions
22,2,490.22,4,3,3,433,Loyal Customers
4,3,1937.25,5,3,4,534,Loyal Customers
11,6,1058.06,5,5,4,554,Champions
99,1,387.52,2,1,2,212,At Risk / Lost Customers
57,2,813.11,3,3,3,333,Loyal Customers
1,6,4263.64,5,5,5,555,Champions
218,1,265.2,1,1,2,112,At Risk / Lost Customers
18,1,322.08,4,1,2,412,Recent / New Customers
24,10,4481.67,4,5,5,455,Champions
50,2,363.34000000000003,3,3,2,332,Loyal Customers
7,5,1244.83,5,4,4,544,Champions
303,1,470.36,1,1,2,112,At Risk / Lost Customers
10,6,2255.51,5,5,5,555,Champions
22,6,1372.8,4,5,4,454,Champions
99,1,89.06,2,1,1,211,At Risk / Lost Customers
366,1,63.0,1,1,1,111,At Risk / Lost Customers
306,1,131.9,1,1,1,111,At Risk / Lost Customers
320,1,2661.24,1,1,5,115,At Risk / Lost Customers
8,5,2357.68,5,4,5,545,Champions
1,4,1712.89,5,4,4,544,Champions
205,2,1589.82,1,3,4,134,At Risk / Lost Customers
54,4,1420.2,3,4,4,344,Loyal Customers
1,4,1039.58,5,4,4,544,Champions
19,5,1163.23,4,4,4,444,Champions
9,2,375.35,5,3,2,532,Loyal Customers
19,4,907.1,4,4,3,443,Loyal Customers
181,3,483.25,1,3,2,132,At Risk / Lost Customers
60,2,662.59,3,3,3,333,Loyal Customers
11,2,264.44,5,3,2,532,Loyal Customers
190,1,119.93,1,1,1,111,At Risk / Lost Customers
5,9,3062.4,5,5,5,555,Champions
311,1,113.64,1,1,1,111,At Risk / Lost Customers
155,1,1837.92,2,1,4,214,At Risk / Lost Customers
110,3,434.34,2,3,2,232,Loyal Customers
148,3,2103.06,2,3,5,235,Loyal Customers
66,11,2004.02,3,5,4,354,Loyal Customers
98,3,529.62,2,3,3,233,Loyal Customers
247,3,1058.6200000000001,1,3,4,134,At Risk / Lost Customers
29,7,2272.4,4,5,5,455,Champions
18,4,598.76,4,4,3,443,Loyal Customers
12,2,461.19,5,3,2,532,Loyal Customers
104,8,1936.84,2,5,4,254,Loyal Customers
74,2,234.34,2,3,1,231,At Risk / Lost Customers
46,1,547.66,3,1,3,313,About to Sleep
72,3,925.85,3,3,3,333,Loyal Customers
257,1,215.7,1,1,1,111,At Risk / Lost Customers
20,4,1309.6,4,4,4,444,Champions
254,2,316.25,1,3,2,132,At Risk / Lost Customers
11,1,279.05,5,1,2,512,Recent / New Customers
165,2,636.51,2,3,3,233,Loyal Customers
18,6,2068.15,4,5,5,455,Champions
282,1,137.1,1,1,1,111,At Risk / Lost Customers
50,1,321.92,3,1,2,312,Recent / New Customers
39,1,165.75,3,1,1,311,Recent / New Customers
27,6,1196.33,4,5,4,454,Champions
68,1,1064.28,3,1,4,314,About to Sleep
207,1,463.38,1,1,2,112,At Risk / Lost Customers
175,2,340.93,2,3,2,232,Loyal Customers
7,5,2383.2400000000002,5,4,5,545,Champions
26,1,139.56,4,1,1,411,Recent / New Customers
51,2,123.80000000000001,3,3,1,331,About to Sleep
312,2,538.8100000000001,1,3,3,133,At Risk / Lost Customers
309,1,475.37,1,1,2,112,At Risk / Lost Customers
43,5,1957.32,3,4,4,344,Loyal Customers
26,3,815.32,4,3,3,433,Loyal Customers
88,3,356.85,2,3,2,232,Loyal Customers
184,2,251.21,1,3,2,132,At Risk / Lost Customers
20,11,2470.67,4,5,5,455,Champions
3,6,3543.26,5,5,5,555,Champions
47,4,673.26,3,4,3,343,Loyal Customers
17,8,5905.64,4,5,5,455,Champions
17,5,2012.17,4,4,4,444,Champions
24,6,1383.18,4,5,4,454,Champions
22,2,276.42,4,3,2,432,Loyal Customers
11,5,1314.81,5,4,4,544,Champions
188,2,275.28,1,3,2,132,At Risk / Lost Customers
101,3,455.59000000000003,2,3,2,232,Loyal Customers
61,3,1055.35,3,3,4,334,Loyal Customers
18,6,2102.09,4,5,5,455,Champions
33,2,330.45,4,3,2,432,Loyal Customers
64,1,174.37,3,1,1,311,Recent / New Customers
2,2,270.6,5,3,2,532,Loyal Customers
24,4,974.54,4,4,4,444,Champions
108,1,241.09,2,1,1,211,At Risk / Lost Customers
32,9,1867.68,4,5,4,454,Champions
20,9,4332.2,4,5,5,455,Champions
3,55,8508.82,5,5,5,555,Champions
37,1,364.21999999999997,3,1,2,312,Recent / New Customers
60,3,620.04,3,3,3,333,Loyal Customers
26,6,2925.91,4,5,5,455,Champions
236,4,932.85,1,4,3,143,At Risk / Lost Customers
25,7,1949.72,4,5,4,454,Champions
3,18,4447.05,5,5,5,555,Champions
60,3,2864.19,3,3,5,335,Loyal Customers
260,1,171.8,1,1,1,111,At Risk / Lost Customers
58,1,355.56,3,1,2,312,Recent / New Customers
65,2,388.25,3,3,2,332,Loyal Customers
16,2,537.48,4,3,3,433,Loyal Customers
10,3,996.26,5,3,4,534,Loyal Customers
59,8,1461.65,3,5,4,354,Loyal Customers
186,1,103.25,1,1,1,111,At Risk / Lost Customers
29,16,3630.33,4,5,5,455,Champions
24,2,2024.45,4,3,4,434,Loyal Customers
5,5,2578.09,5,4,5,545,Champions
4,8,4007.54,5,5,5,555,Champions
151,2,652.8,2,3,3,233,Loyal Customers
311,1,289.24,1,1,2,112,At Risk / Lost Customers
11,2,765.62,5,3,3,533,Loyal Customers
18,2,186.23,4,3,1,431,About to Sleep
152,1,165.07,2,1,1,211,At Risk / Lost Customers
19,5,859.27,4,4,3,443,Loyal Customers
10,4,2381.04,5,4,5,545,Champions
57,2,324.14,3,3,2,332,Loyal Customers
85,1,788.38,2,1,3,213,At Risk / Lost Customers
7,22,2237.77,5,5,5,555,Champions
76,3,1080.76,2,3,4,234,Loyal Customers
4,18,5074.77,5,5,5,555,Champions
96,4,3099.12,2,4,5,245,Loyal Customers
111,1,1432.0,2,1,4,214,At Risk / Lost Customers
57,2,1530.3600000000001,3,3,4,334,Loyal Customers
1,1,227.39,5,1,1,511,Recent / New Customers
281,2,218.06,1,3,1,131,At Risk / Lost Customers
